unit,unit_1
timestamp,1552878392
plant,Yalumba
cellar,Mexican_Vale
batch,19SPG3
barrel,090241
temperature,18.33
specific_gravity,0.993
integtime_measure,150.0
wavelen,dark-cal,light-cal,dark-0,light-0,dark-1,light-1,dark-2,light-2
335.429077,1502.0,1503.0,1502.0,1501.0,1502.0,1498.0,1497.0,1499.0
335.887201,1501.0,1503.0,1501.0,1499.0,1497.0,1502.0,1496.0,1501.0
336.345361,1503.0,1508.0,1503.0,1503.0,1497.0,1501.0,1504.0,1505.0
336.803556,1498.0,1505.0,1505.0,1505.0,1502.0,1502.0,1505.0,1501.0
337.261787,1501.0,1504.0,1501.0,1505.0,1499.0,1502.0,1500.0,1502.0
337.720053,1499.0,1503.0,1503.0,1505.0,1499.0,1500.0,1499.0,1503.0
338.178355,1503.0,1507.0,1502.0,1500.0,1504.0,1504.0,1501.0,1499.0
338.636693,1499.0,1505.0,1503.0,1499.0,1498.0,1503.0,1501.0,1503.0
339.095066,1503.0,1504.0,1507.0,1506.0,1503.0,1496.0,1503.0,1500.0
339.553474,1503.0,1502.0,1501.0,1503.0,1499.0,1502.0,1505.0,1502.0
340.011918,1505.0,1506.0,1502.0,1501.0,1503.0,1501.0,1500.0,1500.0
340.470397,1505.0,1504.0,1504.0,1503.0,1502.0,1504.0,1501.0,1501.0
340.928912,1505.0,1500.0,1503.0,1500.0,1502.0,1500.0,1499.0,1499.0
341.387463,1498.0,1500.0,1497.0,1500.0,1496.0,1496.0,1498.0,1496.0
341.846049,1503.0,1502.0,1504.0,1501.0,1506.0,1504.0,1501.0,1502.0
342.304670,1499.0,1506.0,1507.0,1503.0,1501.0,1504.0,1502.0,1498.0
342.763328,1503.0,1506.0,1505.0,1500.0,1502.0,1503.0,1495.0,1499.0
343.222020,1501.0,1499.0,1501.0,1501.0,1496.0,1497.0,1499.0,1497.0
343.680748,1507.0,1506.0,1503.0,1506.0,1503.0,1503.0,1506.0,1501.0
344.139512,1509.0,1504.0,1499.0,1503.0,1500.0,1503.0,1503.0,1501.0
344.598311,1503.0,1502.0,1502.0,1499.0,1502.0,1501.0,1495.0,1498.0
345.057146,1499.0,1502.0,1502.0,1502.0,1498.0,1500.0,1496.0,1500.0
345.516016,1507.0,1502.0,1501.0,1497.0,1498.0,1494.0,1499.0,1502.0
345.974922,1502.0,1505.0,1504.0,1501.0,1499.0,1503.0,1503.0,1500.0
346.433863,1502.0,1504.0,1502.0,1502.0,1503.0,1503.0,1500.0,1501.0
346.892840,1505.0,1504.0,1504.0,1501.0,1502.0,1500.0,1497.0,1500.0
347.351852,1503.0,1500.0,1507.0,1500.0,1505.0,1505.0,1502.0,1502.0
347.810900,1500.0,1505.0,1502.0,1502.0,1506.0,1504.0,1503.0,1506.0
348.269984,1510.0,1507.0,1504.0,1503.0,1500.0,1503.0,1505.0,1503.0
348.729103,1501.0,1501.0,1504.0,1501.0,1499.0,1497.0,1497.0,1497.0
349.188257,1507.0,1504.0,1507.0,1503.0,1501.0,1502.0,1502.0,1503.0
349.647447,1499.0,1502.0,1501.0,1499.0,1501.0,1501.0,1498.0,1496.0
